agent_ip,src_ip,dest_ip,src_port,dest_port,proto,bytes_to_server,bytes_to_client,pkts_to_server,pkts_to_client,rule_level
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,19522,0,227,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,430,0,5,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1290,0,15,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2150,0,25,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3010,0,35,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3870,0,45,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4730,0,55,0,3
10.21.232.55,10.21.236.69,10.21.239.255,51301,59870,UDP,228,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5590,0,65,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,6450,0,75,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,7310,0,85,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,258,0,3,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1118,0,13,0,3
10.21.232.55,10.21.232.26,10.21.228.13,56102,5358,TCP,132,0,2,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1978,0,23,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2838,0,33,0,3
10.21.232.55,10.21.226.161,10.21.224.56,54859,137,UDP,92,0,1,0,3
10.21.232.55,10.21.232.55,10.21.239.255,138,138,UDP,284,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3698,0,43,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4558,0,53,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,430,0,5,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1290,0,15,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2150,0,25,0,3
10.21.232.55,10.21.236.69,10.21.239.255,55423,59870,UDP,242,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3010,0,35,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3870,0,45,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4730,0,55,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2924,0,34,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4644,0,54,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.236.69,10.21.239.255,62047,59870,UDP,194,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2924,0,34,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4644,0,54,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3526,0,41,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4386,0,51,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,516,0,6,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1376,0,16,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2236,0,26,0,3
10.21.232.55,10.21.236.69,10.21.239.255,64032,59870,UDP,191,0,1,0,3
10.21.232.55,10.21.235.23,10.21.239.255,42411,137,UDP,92,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3096,0,36,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3956,0,46,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4816,0,56,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,602,0,7,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1462,0,17,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2322,0,27,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3182,0,37,0,3
10.21.232.55,10.21.177.173,10.21.232.55,60892,445,TCP,803,377,6,6,3
10.21.232.55,10.21.177.173,10.21.232.55,60136,445,TCP,712,377,6,6,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4042,0,47,0,3
10.21.232.55,10.21.177.173,10.21.232.55,60892,445,TCP,803,431,6,7,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4902,0,57,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,516,0,6,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1376,0,16,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2236,0,26,0,3
10.21.232.55,10.21.236.69,10.21.239.255,61415,59870,UDP,168,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3096,0,36,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3956,0,46,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,172,0,2,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1032,0,12,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1892,0,22,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2752,0,32,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3612,0,42,0,3
10.21.232.55,10.21.226.109,10.21.239.255,60636,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4472,0,52,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2924,0,34,0,3
10.21.232.55,10.21.236.69,10.21.239.255,17500,17500,UDP,290,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2924,0,34,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,602,0,7,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1462,0,17,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2322,0,27,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3182,0,37,0,3
10.21.232.55,10.21.177.173,10.21.232.55,53149,445,TCP,712,377,6,6,3
10.21.232.55,10.21.177.173,10.21.232.55,53847,445,TCP,803,377,6,6,3
10.21.232.55,10.21.177.173,10.21.232.55,53149,445,TCP,712,431,6,7,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,172,0,2,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1032,0,12,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1892,0,22,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2752,0,32,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3612,0,42,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,688,0,8,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1548,0,18,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2408,0,28,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3268,0,38,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3526,0,41,0,3
10.21.232.55,10.21.236.69,10.21.239.255,56503,59870,UDP,220,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4386,0,51,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2924,0,34,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,688,0,8,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1548,0,18,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2408,0,28,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3268,0,38,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.236.69,10.21.239.255,52443,59870,UDP,188,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3526,0,41,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3526,0,41,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,172,0,2,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1032,0,12,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1892,0,22,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2752,0,32,0,3
10.21.232.55,10.21.236.69,10.21.239.255,63952,59870,UDP,236,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3612,0,42,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4902,0,57,0,3
10.21.232.55,10.21.227.108,10.21.239.255,53635,3289,UDP,60,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,61396,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,860,0,10,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1720,0,20,0,3
10.21.232.55,10.21.227.108,10.21.239.255,62531,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2580,0,30,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3440,0,40,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4300,0,50,0,3
10.21.232.55,10.21.232.55,10.24.0.193,47703,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,47703,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.21.228.17,41988,631,TCP,1228,632,6,4,3
10.21.232.55,10.21.232.55,10.21.228.17,42006,631,TCP,824,692,6,5,3
10.21.232.55,10.21.232.55,10.21.228.17,42016,631,TCP,1169,632,9,4,3
10.21.232.55,10.21.232.55,10.21.228.17,46736,631,TCP,750,752,5,6,3
10.21.232.55,10.21.232.55,10.21.228.17,40736,631,TCP,824,752,6,6,3
10.21.232.55,10.21.232.55,10.21.228.17,40746,631,TCP,1169,632,9,4,3
10.21.232.55,10.21.232.55,10.24.0.193,33790,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,33790,UDP,132,196,1,1,3
10.21.232.55,10.21.226.109,10.21.239.255,59999,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5160,0,60,0,3
10.21.232.55,10.21.232.55,10.24.0.193,38509,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,38756,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.21.236.77,59132,631,TCP,824,301,6,4,3
10.21.232.55,10.21.232.55,10.24.0.193,58854,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,59903,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,56383,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,56383,UDP,132,196,1,1,3
10.21.232.55,10.21.236.69,10.21.239.255,55439,59870,UDP,181,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,774,0,9,0,3
10.21.232.55,10.21.232.55,10.24.0.193,49714,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,56711,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,51713,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,54004,UDP,132,196,1,1,3
10.21.232.55,10.21.226.109,10.21.239.255,52567,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1634,0,19,0,3
10.21.232.55,10.21.232.55,10.24.0.193,43197,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,48619,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2494,0,29,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3354,0,39,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4214,0,49,0,3
10.21.232.55,10.21.226.161,10.21.239.255,62347,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.55,10.24.0.193,48966,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,48966,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5074,0,59,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,688,0,8,0,3
10.21.232.55,10.21.232.55,10.24.0.193,38350,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,38350,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,37102,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,37102,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1548,0,18,0,3
10.21.232.55,10.21.232.55,10.24.0.193,35166,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,35166,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,37414,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,37414,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,60531,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,54446,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2408,0,28,0,3
10.21.232.55,10.21.226.109,10.21.239.255,59671,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.55,10.24.0.193,56930,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,56930,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3268,0,38,0,3
10.21.232.55,10.21.232.55,10.24.0.193,59947,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,59947,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4128,0,48,0,3
10.21.232.55,10.21.232.55,10.24.0.193,36542,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,36542,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,52382,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,52382,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,48779,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,48779,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4988,0,58,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,688,0,8,0,3
10.21.232.55,10.21.232.55,10.24.0.193,45236,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,45236,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1548,0,18,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2408,0,28,0,3
10.21.232.55,10.21.232.55,10.24.0.193,33845,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,33845,UDP,132,196,1,1,3
10.21.232.55,10.21.226.109,10.21.239.255,53071,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3268,0,38,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4128,0,48,0,3
10.21.232.55,10.21.232.55,10.24.0.193,52380,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,52380,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.232.55,10.24.0.193,52786,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,60301,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3526,0,41,0,3
10.21.232.55,10.21.232.55,10.24.0.193,43556,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,43556,UDP,132,196,1,1,3
10.21.232.55,10.21.232.55,10.24.0.193,42862,53,UDP,132,0,1,0,3
10.21.232.55,10.24.0.193,10.21.232.55,53,45803,UDP,132,196,1,1,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4386,0,51,0,3
10.21.232.55,10.21.239.44,10.21.239.255,47553,137,UDP,92,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5246,0,61,0,3
10.21.232.55,10.21.236.69,10.21.239.255,58286,59870,UDP,243,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,258,0,3,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1118,0,13,0,3
