node,total_bytes_mean,total_bytes_sum,total_bytes_max,total_packets_mean,total_packets_sum,total_packets_max,rule_level_mean,rule_level_max,avg_packet_size_mean,byte_asymmetry_mean,packet_asymmetry_mean,src_port_nunique,dest_port_nunique,proto_num_mean
10.21.232.16,70.0,420.0,70.0,1.0,6.0,1.0,3.0,3.0,35.0,0.9859154929577464,0.5,6.0,1.0,2.0
10.21.235.189,151.5,303.0,243.0,1.0,2.0,1.0,3.0,3.0,75.75,0.9897540983606558,0.5,2.0,2.0,2.0
10.21.239.44,92.0,368.0,92.0,1.0,4.0,1.0,3.0,3.0,46.0,0.989247311827957,0.5,4.0,1.0,2.0
10.21.235.23,92.0,460.0,92.0,1.0,5.0,1.0,3.0,3.0,46.0,0.989247311827957,0.5,5.0,1.0,2.0
10.21.232.218,2762.0,2762.0,2762.0,2.0,2.0,2.0,3.0,3.0,920.6666666666666,0.9996380745566412,0.6666666666666666,1.0,1.0,2.0
10.21.227.114,132.0,132.0,132.0,2.0,2.0,2.0,3.0,3.0,44.0,0.9924812030075189,0.6666666666666666,1.0,1.0,1.0
10.21.228.13,92.0,828.0,92.0,1.0,9.0,1.0,3.0,3.0,46.0,0.9892473118279569,0.5,9.0,1.0,2.0
10.21.232.26,132.0,264.0,132.0,2.0,4.0,2.0,3.0,3.0,44.0,0.9924812030075189,0.6666666666666666,2.0,1.0,1.0
10.21.226.60,92.0,92.0,92.0,1.0,1.0,1.0,3.0,3.0,46.0,0.989247311827957,0.5,1.0,1.0,2.0
192.168.100.16,86.0,86.0,86.0,1.0,1.0,1.0,3.0,3.0,43.0,0.9885057471264368,0.5,1.0,1.0,2.0
10.21.232.183,86.0,86.0,86.0,1.0,1.0,1.0,3.0,3.0,43.0,0.9885057471264368,0.5,1.0,1.0,2.0
10.21.232.162,3200.069825436409,1283228.0,19522.0,37.21197007481297,14922.0,227.0,3.0,3.0,80.77700240757355,0.9991033671518756,0.9393335863650122,1.0,1.0,2.0
10.21.177.173,1152.5,6915.0,1234.0,12.333333333333334,74.0,13.0,3.0,3.0,86.47710622710622,0.31382422798267934,-0.023809523809523798,4.0,1.0,1.0
10.22.36.77,390.0,1560.0,390.0,5.0,20.0,5.0,3.0,3.0,65.0,0.9974424552429668,0.8333333333333334,4.0,1.0,1.0
10.21.239.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.227.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.236.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.234.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.236.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.230.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.234.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.234.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.229.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.227.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.236.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.234.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.235.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.228.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.228.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.255.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.0.0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.228.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.224.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.100.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.224.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.232.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.225.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.21.224.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
